,tweet
0,여행 어떠신가여👍💜💜
1,지금 쿠팡에서 맥북프로 특가 행사중이네요 👍 6797 45
2,에고공 그래도 조금 멀어지셔서 고생이시겠어용 다행히 전체적인 출퇴근 시간은 그렇게 길지 않으시다니까 다행이에요 ☺️👍 헤헤 항상 일찍이 잘 일 다니셔서 너무 멋져용
3,역대급 가성비 갑 맥북 에어 1 지금 쿠팡에서 특가 행사중이네요 👍  61
4,우와 최고 👍
5,이번에 나온 아이폰 13 프로 지금 쿠팡에서 추가 할인 행사하네요 👍 3 3
6,기준이 명확하다👍
7,7777 저 오똑한 콧날 😍👍
8,19 첫  그림 잘 그리신당🫣 현  현생 무쟈게 치여사는 우주친화력 짱쫭 이와👍👍👍 부럽다 그리고 퇴사하쟈
9,윤 대통령 또 틀렸다 반도체 15만 양병설은 헛발질 이봉렬  싱가포르  다음 뉴스 0   장확히 기사썻네 나도 반도체 얻구원출신이지만 맞는말이다👍🎉🎉 ㅇ ㅇ  ㅇ
10,6 아ㅜㅠㅠㅜㅠ 그래서안보이셧군요ㅜㅜ 진짜 넘 수고많으셧어요 가셔서 푹 쉬고 놀다오세요🥹🥹👍👍🔥🔥🔥🔥
11,물론 그는 마수를 찢어👍💚
12,아 짱귀여울거같아요😭👍 거기다 모자누르면 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ삑뽁삑 하면서ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 연주가능한 화음 나오는 모자였으면 좋겟음다ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
13,개존잘에 귀엽고 스윗한 소노 님👍
14,짱 👍 💗
15,이런식으로  진심을 전달하는 지프룩 멋진 너란남자👍 행복하자 🥰   33
16,지금 쿠팡에서 에어팟 맥스 특가행사중이네요 👍 36 9484
17,응 ᆢ 날이가  잘 찍어줘서👍 흐흐
18,55 기여븐 경종이들 더 귀엽게 맹글어주는 건승님 짱짱👍👍👍
19,역대급 가성비 갑 맥북 에어 1 지금 쿠팡에서 특가 행사중이네요 👍  9
20,월요일 아침을 기운차게 만들어주신 우리 곱 센세의 갓중독 기립박수 기립박수 최고에요 7월 마지막 주 완전 행복한 한 주로 끝내고 8월을 기쁜 맘으로 맞이 할 수 있을거 같 6
21,이번에 나온 아이패드 에어 5  1 적용으로 가성비 역대급인듯 👍 지금 쿠팡에서 특가 행사중 👍 1 2
22,👍헬로망치 프리미엄 대형 고양이 직조 캣타워 8898 그레이 1개👍  구매링크↓↓↓ 👉2  파트너스 활동의 일환으로 이에 따른 일정액의 수수료를 제공받습니다 256
23,우아하고 사랑스럽고넘넘 고급스러워요 💖💖💖👍👍👍
