,tweet
0,적절한 때 꿈에 아빠가 나와준 덕에 통찰이 생기기도 했었고 그때 수업듣던 거 시험 과제 다 놓쳐서 재수강은 하고 있지만 통찰에는 도움이 됐었다 직접 겪어보고 나서 이론에 딱 적용되는걸 보니까 여러모로 신기하고 재밌네 지나오면서는 낫긴 하는건지 막막했는데😊 암튼 다 시간이 걸려
1,감사합니다😊 30대 환영이라 하셔서 냉큼 눌렀습니다👍 저도 잘 부탁드려요
2,쥐치님 닉네임이 쥐치치치 햄찌와 람쥐인가요😊 람쥐는 햄찌를 좋아하죠 껴안아주고 다닐거얏💕💕🐹🐿
3,510 그러지 말구 좀 시원하게 입어봐요😊
4,실트에 코엑스 메가박스가 헌트 영화에 관한 것인거에 뿌듯한 팬 1인😊 6059
5,멋진 풍경사진 감사합니다 해바라기 열심히 그리던 그때가 생각납니다😊 69
6,1 직캠 감사합니다 ❤️😊
7,진심 🌈존💖㉯😊 귀여워
8,0707 아직 28이상 풀콤은 능숙하게는 못하고 있지만 더욱 노력할거야😊
9,이런 욕망 환영환영대환영입니다 😊😊👍👍👍자기 전에 은혜로운 망님의 도소😊😊😊😊 소병이 몸에 은근 점 많아도 섹시할 거 같아요 창백한 등에 별자리처럼 흩뿌려있다거나그리고 그 점들 하나하나 다 세며 핥는 또이 🔥🔥🔥🔥🔥
10,🍆꽃물판매하는곳🚴‍ 원🍎시크릿비아🇱🇷§약국납품 💦여성최음ㅈㅔㄱㅜ입하는곳💦 🎠라인8🔫카톡49🚴♂️ 텔레8949🎠 ☎유럽미국일본상품🏎원 플러스 원할인된가격⁉ 🏯강력수면ㅈㅔ판ㅁㅐ하는곳🏯 😊 👳‍♂️ ◼ ▪ 🧑 🕳
11,그러게용 4시간지나니까 복구완료되었어요 😊
12,오늘 스밍 셋팅 해야지🥰🥰 이쁘니들 노래 닳도록 들을께😊  문빈  산하 빠져들어 2
13,1092 아아 그렇군요 알려주셔서 감사합니다😊
14,형님들 사이에 있는 석진이 얼굴 진짜 작네 목은 길고 얼굴은 소멸 직전 😱  비율도 대박 👍 외모 못지 않게 마음 씀씀이도 멋진 역시 월와핸 왕자님 😊💕💜 88
15,법과 제도의 결정권은 선출직 입니다이들에게 재선보더 더 중요한 것은 없지요😊
16,오늘 너무 고마워😊 4908
17,96 네 지금은 보여요😊
18,18 고마워요😊❤️ 전부 다 먹었어요〜🍙️๑ˊ꒳​ˋ๑
19,22 트창이 백프로 일 거료 😊😊😊😊
20,거기서는 행복하게 잘 있을 것 같아요😊
21,여우요괴 귀여워😊
22,간만에 안깨고잤넹😊
23,맞아 아무래도 빵뉴라 할수있지😊
24,마츠다 役 칸나 성우님의 해석을 빌려서 생각한 문장을 트윗으로 옮긴 것입니다😊 61
25,7 😆 고맙습니다 😊
26,더보이즈 포카 양도합니당 상태 좋고 포장도 꼼꼼하게 해드려요😊 디엠 주세요  더보이즈 더비 4기 매버릭 스릴라이드 시그 라포티셀 상연 제이콥 영훈 현재 주연 케빈 뉴 큐 주학년 선우 에릭 더비존 53
27,3   울 크앙님 안녕하세요 저희 반모할까요😊
28,오늘 하루가 어떻게 지나간지 모르겠어 잠을 설쳤고 아침부터 조마조마했고 점심시간까지 바꿔가며 2시 사수했고 아직까지도 들락날락하고있어 아마 널 보기전까지 매일 이럴듯😊 라키
29,먼저 연락주신분과 대화 중입니다😊
30,678 과거에 배포된 프리페이퍼입니다무사히 도착해서 다행입니다😊
31,오로시 유리 기사 사진 📸 😊
32,2 바아로 팔로우했어요 뭐라고 부르면 될까요 두근 😊💜💛
33,폰트 사이즈 처음으로 작게 줄여봤는데 예쁘다 작게들 쓰는 이유가 있구나😊 바꾼 폰트도 예뻐 보이고 트위터 기본 폰트도 예뻐 보여
34,비가 내리더니만😊 뭔가 나른하고 기온도 좀 선선해지고 선선한거 넘 맘에 드넹 ㅋㅋ 만담은 내 인스타에ㅋㅋ 나를 가장 사랑하시는 하나님께 나만을 사랑하고존중하는 사람들에게 항상감사해💖
35,4455 오마린 슈닝님 정말 어울리고 아름다우세요😊 한마디로여신님😍😍😍
36,트위터 내에서라면 괜찮습니다😊
37,저랑 트친해주시는거야말로 제가 영광이죠😊😊
38,애니플러스프리더빙 저의 최애 애니에서 최애 성우님들이 나온다뇨ㅠ이건 안볼 수 가 없네요😆 프리 시리즈가 끝나서 아쉬워 하고 있었는데 갑자기 이런 소식이 나오다니 너무 행복합니다🥰이 기회로 프리가 더 유명해졌으면 좋겠네요😊꼭꼭 본방사수 하며 챙겨보도록 할게요 프리 화이팅❤️
39,왔습니다아😊 764
